,post_id,date,post_text
10,2192418,2025-05-11,"В США неожиданно оценили позицию коалиции желающих по России

Лидеры Запада находятся в своем вымышленном мире, в котором они могут что-то требовать от России, заявил бывший полковник армии США Дэниел Дэвис на YouTube. 

""Куда ни посмотри, Россия везде впереди: в военном, экономическом, промышленном плане. Запад уже сделал все возможное, уже наложил тысячи санкций. Вы правда считаете, что новые санкции что-то изменят? В этом вообще есть логика?"" — сказал он.

Бывший полковник также отметил, что те же самые лидеры в течение всего конфликта поддерживали любую провальную идею Киева, загоняя себя глубже в воображаемый мир, где Россия якобы проигрывает. 

""Нас это должно начать волновать. Потому что лидеры Запада все больше отдаляются от реальности. Какие еще решения они готовы принять с настолько помутненным рассудком <…> Каждое действие имеет противодействие, и Россия весьма преуспела в противодействии решениям Запада, — заключил Дэвис."
11,2192400,2025-05-11,
12,2192387,2025-05-11,"США одобрили передачу Украине 125 дальнобойных ракет, пишет NYT

Вашингтон одобрил передачу 125 дальнобойных артиллерийских ракет и ста ракет для систем ПВО Patriot на Украину из ФРГ, пишет New York Times. 

""В пятницу представитель конгресса заявил, что Соединенные Штаты одобрили передачу Германией 125 дальнобойных артиллерийских ракет и 100 ракет ПВО Patriot на Украину"", — отмечается в статье. 

Как утверждает издание, оружие американского производства должно получать разрешение на экспорт от США, даже если им владеет другое государство."
13,2192378,2025-05-11,"🇺🇦⚔🇷🇺 Кровавое наступление: как ВСУ прорвались в центр Дзержинска, чтобы омрачить День Победы - подробности 
 
▪Как сообщалось, утром 8 мая враг нарушил трёхдневное перемирие и начал наступление в Дзержинске (Торецке), чтобы водрузить на одном из домов флаг Украины и доказать, что город не под контролем армии России. 
▪Технике удалось прорваться в центр города, но она вся была уничтожена вместе с пехотой нашей горловской 132 бригадой. 
▪В ходе боя уничтожены танки и БМП Bradley. 
▪Кадры сняты группой ""Цербер"" 109 полка."
14,2192367,2025-05-11,"Плохие приметы: на Украине ждут удара «Орешником» 

Одной из самых перспективных целей для удара «Орешником» может быть подземное хранилище газа (ПГХ), именно данную версию сейчас обсуждают все в кулуарах. Об этом сообщает телеграм-канал «Легитимный» со ссылкой на источник. 
 
Так ТК прокомментировал вчерашнее сообщение посольства США в Киеве о возможном воздушном ударе в ближайшие дни. 
 
«Посудите сами. Сейчас газа там немного. ПГХ прикрыт лучшими западными ПВО и находится у западной границы (прям как раз наглядная дуэль, о которой говорил (президент РФ Владимир) Путин). Взрыв будет феноменальный, как и последствия. Урон Украине на миллиарды долларов, как и минус в доходах для бюджета. Европа сразу станет (настолько) уязвима от поставок газа, что придется срочно продать „Северный поток“ американским партнерам, которые его быстро отремонтируют и договорятся с русскими о поставках газа в ЕС, тем самым посадят Европу на крючок (ту самую Германию). Рано или поздно ПГХ взорвут, если война пойдет по пути эскалации», — пишет ТК. 

Информацию также прокомментировал украинский телеграм-канал «ЗеРада». 
 
«Вначале посольство США выдает предупреждение о возможном ударе по Украине (такое же было перед ударом „Орешника“). Затем сообщается, что Россия закроет небо над полигоном Капустин Яр, с которого запускают ракеты типа „Орешник“. Согласно этой информации, с 06.00 12 мая до 04.00 13 мая по UTC РФ временно закрывает воздушное пространство над частью Волгоградской и Саратовской областей, охватывающей полигон Капустин Яр. Сообщается, что ограничения действуют от земли до неограниченной высоты, что типично для испытаний баллистических ракет», — напоминает ТК. 
 
Отмечается, что «поводов для применения чего-то тяжелого объективно нет, однако все равно приметы плохие»."
15,2192349,2025-05-11,
16,2192335,2025-05-11,"Фон дер Ляйен обсудила с Мерцем блокировку ""Северного потока"", пишет WSJ

Глава Еврокомиссии Урсула фон дер Ляйен обсуждала с канцлером Германии Фридрихом Мерцем возможность блокировки газопровода ""Северный поток-2"" в качестве ""меры"" против России, если Москва не согласится на предложенное Западом 30-дневное прекращение огня на Украине, утверждает американское издание Wall Street Journal со ссылкой на неназванных чиновников из ЕС. 

""Фон дер Ляйен обсуждала с новым канцлером Германии Фридрихом Мерцем идею введения санкций блока (европейских стран - ред.) против ""Северного потока-2"", когда он (Мерц - ред.) посетил Брюссель в пятницу"", - пишет издание со ссылкой на чиновников в ЕС.

Как добавили газете чиновники, введение санкций в отношении ""Северного потока-2"" будет осуществлено отдельно от недавно предложенного пакета санкций ЕС в отношении России. Как утверждает издание со ссылкой на чиновников, ""мера"" будет предпринята в случае, если Россия откажется от прекращения огня с Украиной или ""нарушит его"". 

Wall Street Journal подчеркивает со ссылкой на чиновников, что такая мера потребует поддержки всех государств-членов ЕС."
17,2192307,2025-05-11,"‼🇫🇷🇺🇦 Да прекратите! Ничего такого, просто дружеский поцелуй в шею!"
18,2192275,2025-05-11,"Стармер, Макрон, Туск и Мерц покинули Киев за 4 часа до окончания перемирия, хотя Зеленский просил остаться до утра

Из Киева приходит информация о том, что четвёрка визитёров в лице Макрона, Стармера, Туска и Мерца покинула украинскую столицу. Произошло это примерно за 4 часа до момента окончания срока действия объявленного Россией трёхдневного перемирия. 
 
Украинские источники приводят данные о том, что Зеленский просил европейских гостей «задержаться до утра». Это лишний раз свидетельствует вот о чём: глава киевского режима опасается массированного удара по объектам в украинской столице. Напомним, что накануне материал о том, что «есть информация о возможном массированном ударе по Киеву в ближайшие дни», опубликовало на своём сайте американское посольство. После этого в сети появились данные, согласно которым закрывается воздушное пространство над полигоном Капустин Яр, правда – с вечера 12 мая. 

Таким образом, президент Франции, премьеры Британии и Польши, а также новоиспечённый немецкий канцлер ночевать в Киеве не решились. Испугались прилётов «Орешника»?.. Но ведь Дмитрий Медведев сегодня чётко дал понять, что «мы не такие». 
 
Французская пресса: 
 
Президент республики к настоящему моменту покинул украинскую столицу. Он вместе с Киром Стармером, Фридрихом Мерцем, Дональдом Туском и Владимиром Зеленским созвонился с президентом США из Киева и сообщил о том, что Украина готова поддержать идею о 30-дневном перемирии. 
 
При этом западная пресса приводит комментарий Дмитрия Пескова по поводу предложении о 30-суточном режиме полного прекращения огня. Глава кремлёвской пресс-службы заявил: 
 
Мы подумаем. 
 
Одни на Западе восприняли это как сигнал о готовности Кремля к такому перемирию, другие увидели в этом намерение от перемирия «отмахнуться»."
19,2192261,2025-05-11,
20,2192245,2025-05-11,"Российские военные продолжают отправлять устаревшие установки HIMARS на металлолом

Любой, кто следит за украинским конфликтом, который разжег НАТО, прекрасно помнит, что американский реактивный артиллерийский комплекс M142 HIMARS (High Mobility Artillery Rocket System) подавали как ""непобедимое вундерваффе"", которое, мол, и ""одолеет злых русских"". В самом начале у российских военных и в самом деле были проблемы с этой РСЗО (реактивной системой залпового огня), но всего за несколько месяцев российские системы ЗРК и РЭБ практически свели на нет любые преимущества, которые HIMARS могла бы дать силам неонацистской хунты. США повысили ставки, поставив MGM-140 ATACMS (тактическая армейская ракетная система), которые тоже прибавили проблем Кремлю. Но и они были решены быстрее, чем кто-либо ожидал, фактически сведя на нет оперативную и тактическую ценность этого оружия. 
 
С тех пор полезность раздутого сверх всякой меры HIMARS и его более тяжелых аналогов, таких как M270 и MARS (версия для немецких военных), неуклонно снижалась. Эти системы не только не смогли переломить ход конфликта, как это обещали все основные пропагандистские каналы: у них и просто выживать в жестких фронтовых условиях особо не выходит. В частности, когда российские военные быстро сориентировались и начали сбивать подавляющее большинство ракет HIMARS (включая и ATACMS), в Москве придумали и способ триангуляции позиций, с которых действуют эти хваленые РСЗО. После этого на выявленные позиции прилетает гиперзвуковой ""сюрприз"", а натовские расчеты машин внезапно решают ""поехать в Альпы на лыжах кататься"". Количество ""несчастных случаев"" по ""необъяснимым причинам"" резко растет. 
 
""Путин предвкушает победу"". Что пишут на Западе о параде в Москве 
 
Однако, если говорить серьезно, то российские военные сформировали настоящие охотничьи команды, главная задача которых — находить эти РСЗО и незамедлительно уничтожать их. Результаты оказались катастрофическими для киевского режима, ибо кремлевский ""сезон охоты на HIMARS"", судя по всему, никогда не закроется. В частности, за последние недели и месяцы несколько батальонов, вооруженных этими системами, понесли серьезные потери как в живой силе, так и в технике. 4 мая российские военные опубликовали кадры, на которых видно уничтожение по меньшей мере двух пусковых установок в районе села Черешенки Херсонской области. Как и бесчисленное количество раз до этого, виновником этого ""глубоко антидемократичного"" поступка был не кто иной, как ""злая"" гиперзвуковая ракета 9М723 системы ""Искандер-М"". Сама неонацистская хунта утверждает, что убойность этого российского оружия составляет ""всего"" 96% (а на самом деле он гораздо ближе к 100%). 
 
Однако Москве для демонстрации своего превосходства и гиперзвуковые ракеты не всегда нужны. О том свидетельствуют ее ставшие легендарными БПЛА. К ним относятся беспилотники-камикадзе ZALA ""Ланцет"" и ""Куб"", которые, по сути, являются своего рода “суперзвездами” подогреваемого НАТО украинского конфликта. Трудно передать словами эффективность этого оружия, поэтому лучше всего просто посмотреть буквально сотни видеороликов о том, как эти беспилотники работают на поле боя. В отличие от другого сверхсовременного оружия НАТО, как, например, совершенно бесполезный ""Switchblade"" американского производства стоимостью в три раза дороже (60 000 долларов), ""Ланцет"" и ""Куб"" нейтрализовали западную технику на сумму в миллиарды долларов. Эти беспилотники регулярно уничтожают всё — от боевых пикапов до бронетехники, основных боевых танков, радаров, самолетов на земле и, как вы уже догадались, HIMARS. 
 
В частности, в апреле независимые СМИ опубликовали многочисленные видеозаписи, как беспилотники ""Ланцет"", ""Куб"" и различные FPV уничтожают всевозможную натовскую технику (в South Front скомпилировали их в один большой отчет за весь месяц). На одном из роликов видно, как HIMARS выдвигается на позицию только лишь для того, чтобы запланированный пуск ракет был прерван точным попаданием ""Ланцета"". Однако это еще цветочки: 18 апреля различные источники опубликовали видеозапись еще одной установки, уничтоженной вышеупомянутой 9М723. ""Искандер-М"", выпустивший гиперзвуковую ракету, принадлежит группе войск ""Юг"", а HIMARS находился в населенном пункте Сергеевка (Краматорско-Дружковский участок фронта). Всего за три дня до этого российские военные сообщили об уничтожении двух пусковых установок HIMARS в приграничных районах Курской области. 
 
Атаки по РСЗО американского производства стали обыденностью. Имеется множество видеозаписей и других свидетельств, доказывающих, как они (не)эффективны против высокотехнологичного противника. Даже в тех редких случаях, когда некоторым ракетам удается прорваться, ущерб, наносимый традиционно прочной российской технике, по большей части восполним. Однако, поскольку HIMARS, по сути, устарели на ниве борьбы с военными объектами, неонацистская хунта переключилась на гражданское население, убив сотни людей от Курской до Херсонской областей. Следует отметить, что США, как сообщается, прекратили предоставлять разведданные для HIMARS всего несколько месяцев назад. Это означает, что Пентагон несет прямую ответственность за более чем трехлетние ракетные удары как по российским солдатам, так и по гражданским. 
 
Однако, несмотря на всю поддержку со стороны США/НАТО, ATACMS как самое мощное оружие для HIMARS оказались совершенно неэффективными против такого противника, как российская армия. А именно: сообщения СМИ как в Америке, так и у киевского режима доказывают, что последний получил по меньшей мере 500 единиц ATACMS, что составляет примерно 25% от запасов армии США и 15% от всего объема производства с 1991 года. Из них только 50 остались на службе у неонацистской хунты в конце 2024 года, а это означает, что подавляющее большинство было сбито или уничтожено во время хранения."
21,2192233,2025-05-11,"‼🇷🇺 Наши воины продолжают двигаться вперед по Донецкой Республике, зачищая её от ВСУшников. 
 
Перед вами очередной героический эпизод наших штурмовиков, которые вынудили врага сдаться в плен."
22,2192216,2025-05-11,"У украинцев есть только один шанс

Украинцы имеют сейчас только один шанс. Но они им, конечно, не воспользуются. Более того, они даже не подозревают о том, что такой шанс есть. А если кто-то им об этом шансе и расскажет, то они с гневом отринут его, посчитав страшным мыслепреступлением. 
 
Сразу оговорюсь, что российские квасные патриоты могут не волноваться. Видите ли, я склонен считать, что украинские патриотичные граждане, коих на оставшихся территориях бывшей УССР абсолютное большинство, не оставят нам иного выбора, кроме как полностью разгромить киевский режим и выйти к западным границам нынешней Украины. 
 
Но даже это не будет означать, что наступил конец украинской государственности. Российское высшее военно-политическое руководство недвусмысленно дает понять, что вовсе не желает полного исчезновения Украины. По крайней мере в данный момент времени. 
 
И неважно, как это государство будет называться в будущем: Галиция или же Новая Прекрасная Украина Будущего. 
 
Я же, напротив, искренне этого желаю, но неоднократно высказывался о том, что помножить на ноль Украину за один этап не выйдет. 
 
Будет как минимум два этапа, последовательно ведущие к исчезновению украинского государства. 
 
Первый — это разгром Украины на поле боя. А второй — это попытки украинских политиков и вышиваночных патриотов безуспешно выстроить процветающую Новую Украину. 
 
То, что эта затея заведомо обречена на провал, понимают многие. Но не украинские политики, засевшие в России, Европе и до сих пор пьющие человеческую кровь в Киеве. 
 
Они все еще надеются хоть чем-то в будущем поуправлять и рассчитывают на огромные вложения ведущих государств планеты. Зря они, что ли, каждый день их деньги пересчитывают и мриють о триллионах долларов инвестиций со всех уголков земного шара? 
 
Ежу понятно, что Новой Украине никто огромных денег давать не будет. Напротив, западные и прочие кредиторы Украины будут дубасить кулаками во все двери на Банковой, уже невежливо интересуясь, когда украинские бунчужные атаманы намерены долги возвращать. 
 
Что нынешняя Украина, что её огрызок одинаково нежизнеспособны. И новая послевоенная Украина, как бы она ни называлась, тоже умрет, только сама. 
 
Но ведь многочисленные украинские горлопаны могут этот процесс и ускорить. То есть возможен и третий этап. 
 
Украинские пропагандисты попытаются превратить поражение украинского нацистского режима в пэрэмогу, крича изо всех утюгов и унитазов, что Украина не то что не проиграла, а почти победила. 
 
А украинские патриоты, морально раздавленные поражением, тут же сделают «стойку», как дрессированные собачки, которых хозяин зовет на регулярный прием пищи условной командой, знакомой им еще со щенячьих времен. 
 
И не только сделают эту самую «стойку», но и поверят в то, что пэрэмога над Россией, Путиным и кацапами была так близка, так возможна. 
 
А дальше по накатанной. Сначала будут просто грозить нам войной, потом станут вновь мриять о занятии российских территорий, вплоть до Урала, относительно малыми силами и строительстве сети концлагерей для русских. 
 
Ну а затем только новая война, итогом которой станет неизбежное и окончательное исчезновение украинской государственности. 
 
Лично я склоняюсь к мысли, что украинские говоруны в случае, если российское руководство милостью своей разрешит украинцам иметь хоть какой-то огрызок территорий бывшей УССР в качестве независимого государства, не дадут Новой Украине сгинуть спокойно. 
 
Они именно что погонят своих соплеменников на новую войну с Россией. Накачают их пэрэможными лозунгами и тезисами, а ненависть к нашей стране и нашим гражданам среди украинского населения уже и так в достаточной пропорции наличествует. 
 
Недавно два моих подписчика оставили у меня в чате два одинаковых по смыслу комментария. 
 
Причем один из них до сих пор находится на Украине, а другой — урожденный россиянин, родившийся на территории бывшей РСФСР и всю жизнь проживший в России. 
 
Они утверждают, что украинцы будут иметь возможность прожить хоть какое-то количество лет в бедном, но относительном спокойствии на территории новой независимой Украины до её исчезновения уже по причине хронической нежизнеспособности. Но только в том случае, если украинское общество избавится от нынешних украинских бравурных говорунов. 
 
И я с ними полностью согласен. Да, перспективы не бог весть какие радужные, если учесть, что Новая Украина, как и, по сути, нынешняя, обречена на исчезновение. 
 
Но это лучше, чем опять погнать сотни тысяч на самоубийственную войну против русских, к чему, несомненно, украинские медийные и телевизионные фельдмаршалы будут призывать ежедневно, ежечасно и даже в некоторых случаях ежеминутно. 
 
В связи с этим возникает вопрос: а способны ли экзальтированные украинские громадяне отказаться от той сладкой пэрэможной патоки, которой их в режиме 24/7 потчуют украинские патриотичные говоруны? 
 
Мой ответ: нет. 
 
Речи любимых патриотичных телевизионных и интернет-болтунов для украинцев — последний свет в окошке. Эта последняя и единственная грань, которая отделяет их от мира украинских грёз, в котором они живут уже не одно десятилетие, от жестокой украинской реальности. 
 
И таким же последним светом в окошке эти речи будут для них и после грядущего неизбежного поражения Украины в войне с Россией. 
 
Кто же им, кроме украинских пропагандистов, расскажет, что на самом деле они почти что пэрэмогли, а не проиграли? Никто. 
 
Неспособность и ярко выраженное нежелание украинского населения принимать реальность такой, какова она есть, где Украина ни разу не великая страна, влияющая на судьбы мира, где украинец — это не бог, спустившийся с небес, и сыграет с украинцами злую шутку. 
 
После поражения в текущем кровавом конфликте та сладкая пэрэможная патока, которую в промышленных масштабах изрыгают из себя украинские болтуны, будет как никогда востребована на территории Новой Украины. 
 
И да, я убежден, что не в одной только украинской нацистской верхушке дело, что не раз подчеркивал. 
 
Украинские бравурные пустозвоны, это уродливое порождение украинской пародии на интеллигенцию, тоже внесло ощутимый, если не решающий, вклад в дело построения параллельной украинской реальности, в которой пребывают и которой буквально живут экзальтированные украинские граждане. 
 
И эта реальность, как наркотик, от которого отказаться уже невозможно. Ты либо принимаешь его, как большинство населения Украины, либо совсем от него отказываешься, как ничтожно малое меньшинство бывшей УССР. 
 
Но если уж хоть раз принял, то в случае отказа «ломка» будет неимоверно ментально болезненной. 
 
Поэтому я твердо убежден, что если даже российское руководство оставит Украину в виде какого-то независимого огрызка, то спокойно дожидаться тихой смерти Новой Украины бунчужные атаманы и украинские пропагандисты не будут. 
 
Новая война Прекрасной Украины Будущего с Россией будет практически неизбежной. 
 
Я не верю, что Запад в таком случае окажет поддержку украинским нацистам в таких же объемах, что и сейчас, но какую-то да окажет. 
 
С другой стороны, в Новую Украину как какой-то протекторат России я тоже не верю. Деньги украинские политики брать будут, дежурно улыбаться на первых порах тоже будут, а с экранов украинских телевизоров будут обещать или вернуть утраченные территории дипломатическим путем, или взять реванш над Россией. 
 
А украинским политикам будут вторить неутомимые украинские патриотичные болтуны. 
 
Так что да, у украинцев есть один единственный шанс, о котором они даже не подозревают, но и тот призрачный."
